HTML,CSS,JS,REACTJS,NEXTJS,NODEJS,MONGODB,EXPRESSJS,FLASK,Development_Score
91,84,93,99,80,100,85,98,86,84
95,73,70,77,86,72,98,89,84,92
84,100,93,91,83,95,97,92,83,93
93,71,82,95,83,96,93,88,76,83
72,84,92,83,80,84,97,82,87,95
95,75,72,88,84,94,92,74,97,82
79,76,94,86,76,91,95,99,81,73
94,86,82,89,94,73,79,72,78,88
82,87,84,73,84,91,71,84,77,91
77,86,81,88,79,78,74,75,89,0
95,71,96,93,96,82,75,74,94,99
70,90,91,90,75,75,92,85,73,76
99,80,99,99,99,100,93,92,78,79
92,72,88,100,77,74,73,93,100,80
75,71,89,97,80,73,84,75,91,85
86,99,93,75,88,99,94,71,84,79
80,77,95,88,82,81,74,75,95,93
91,73,88,89,70,89,86,81,84,84
70,95,83,75,74,99,80,100,73,81
82,80,72,70,75,87,93,79,74,70
92,79,81,71,82,77,71,89,70,30
100,74,78,86,78,80,84,93,75,94
92,72,99,100,86,74,99,97,81,96
87,83,90,93,80,78,71,81,72,100
72,70,77,91,97,98,77,80,78,72
74,83,97,99,72,90,74,74,88,84
96,83,95,99,73,94,82,79,94,76
87,77,77,76,77,83,88,98,75,75
70,92,100,84,70,94,86,70,84,75
92,71,83,90,77,77,88,76,88,99
75,75,72,76,88,77,79,89,84,89
84,98,70,89,99,76,96,73,98,89
75,94,70,98,74,96,92,70,99,76
73,91,71,79,74,96,79,70,91,27
75,82,100,84,73,82,93,89,93,96
84,98,77,74,98,84,73,81,82,99
71,96,100,88,88,73,73,95,80,80
96,74,89,80,99,79,77,75,75,93
77,92,84,95,83,80,81,95,82,84
77,99,87,94,70,84,77,97,80,87
81,81,73,85,73,74,93,74,77,29
100,79,86,97,100,95,78,91,88,73
98,83,77,78,91,80,92,70,83,98
74,90,95,83,73,91,92,94,70,71
100,91,92,88,77,84,90,84,78,80
90,78,79,89,94,90,95,78,72,73
100,89,94,95,80,75,71,76,87,75
96,71,96,86,80,96,81,96,88,95
91,93,94,76,89,75,90,93,70,89
86,98,100,80,91,95,97,87,90,80
86,76,86,89,78,86,89,91,91,100
97,100,98,77,86,76,70,82,99,96
92,88,96,93,88,99,99,98,86,95
82,98,99,85,77,88,87,70,83,86
88,84,87,71,91,97,86,87,99,71
75,88,100,73,70,77,98,92,76,76
72,79,79,88,83,71,97,70,92,79
92,97,87,76,98,77,70,94,92,98
72,93,92,96,100,98,77,91,94,75
84,74,72,88,70,97,84,77,71,97
72,93,83,93,83,80,85,73,89,84
74,91,90,83,100,92,85,87,76,80
79,76,70,92,90,88,85,98,88,72
73,98,97,87,71,70,84,74,89,75
80,79,100,71,72,92,92,81,89,71
74,74,75,99,78,71,90,81,72,95
89,95,91,81,93,86,79,99,93,80
96,83,92,86,87,88,86,83,78,99
77,71,82,94,76,78,91,91,80,96
83,73,95,95,98,82,71,92,74,95
80,75,87,90,79,73,78,75,71,92
86,74,94,75,95,81,92,90,79,97
91,90,96,94,100,75,96,77,71,79
81,82,94,90,76,79,82,86,95,100
90,97,99,95,83,71,97,91,80,73
70,88,90,73,88,95,98,90,80,85
77,80,73,86,96,76,77,72,91,3
71,92,84,93,91,91,74,93,70,83
95,73,84,89,88,72,89,80,86,76
99,96,82,80,71,78,95,71,90,19
78,78,77,86,70,94,98,80,77,87
79,94,76,72,72,87,74,81,81,22
88,99,75,71,81,88,74,81,96,36
96,86,98,86,79,94,92,86,84,100
81,99,85,93,88,77,100,90,86,85
92,74,91,85,75,77,94,87,94,78
81,84,96,95,78,82,95,84,79,95
85,76,86,92,95,90,91,95,76,75
83,84,90,76,78,88,85,77,87,94
96,92,98,87,100,99,89,76,72,83
87,96,79,76,86,83,100,93,72,71
81,97,82,71,72,74,80,77,95,32
92,92,81,76,84,93,86,73,98,77
91,94,82,87,70,85,82,79,81,92
99,71,92,72,79,71,99,96,92,75
82,82,87,72,96,76,83,89,98,84
99,86,98,99,90,81,94,85,93,85
81,84,94,79,99,94,100,76,89,91
74,70,99,86,72,82,83,93,99,100
87,73,87,99,74,94,85,70,90,95
83,84,78,84,86,94,93,73,81,87
96,95,74,98,74,80,97,75,76,94
93,100,83,93,80,99,82,71,94,88
76,89,73,96,77,89,98,100,91,77
90,88,82,83,79,80,71,94,95,92
78,86,95,72,93,75,74,74,91,96
84,92,86,78,72,89,95,86,98,88
96,79,72,87,87,99,86,93,72,98
72,75,82,93,98,84,94,78,73,99
83,74,71,80,78,93,72,96,97,89
98,78,72,94,71,81,79,78,84,6
77,94,74,80,96,71,93,97,84,78
75,77,96,74,85,95,87,75,74,83
97,85,82,97,74,82,86,87,77,97
82,99,98,88,95,72,93,77,71,88
77,96,82,82,70,75,93,88,85,94
77,97,70,96,96,85,78,82,80,81
82,94,90,79,73,100,96,75,97,79
76,74,80,82,95,94,88,100,92,93
79,79,80,90,99,76,100,87,73,71
71,83,82,98,81,76,71,82,83,92
96,86,78,86,77,100,71,97,93,78
82,72,85,75,88,99,76,79,78,91
71,100,97,97,84,99,74,98,91,82
73,89,73,87,73,96,86,81,91,72
86,79,91,70,91,95,93,96,87,85
87,83,84,98,81,73,96,72,89,91
98,81,76,98,80,70,75,84,84,94
88,80,95,92,95,71,83,71,98,88
73,86,72,82,78,76,84,92,98,87
98,80,89,71,84,83,89,91,80,85
96,72,86,99,81,93,97,98,90,90
84,85,74,96,89,75,88,94,74,90
72,96,70,95,97,75,84,71,98,79
72,86,94,93,81,87,84,81,85,73
96,77,97,83,94,86,98,90,77,90
84,96,83,87,89,76,72,98,81,89
90,93,97,95,72,89,83,84,94,88
99,83,76,86,99,81,89,73,78,90
75,85,94,97,100,91,91,90,90,100
71,93,77,80,82,86,77,90,87,78
99,87,83,84,100,75,80,82,94,71
70,97,75,78,77,80,91,88,93,94
78,86,81,94,83,84,85,91,91,94
97,89,70,79,77,87,97,70,71,46
70,70,78,82,99,70,82,89,95,89
91,76,71,75,76,95,83,95,87,100
84,71,79,92,81,86,77,80,98,96
72,96,75,78,75,78,76,100,78,80
87,81,77,77,87,97,99,89,99,82
84,96,100,76,80,89,85,73,75,98
95,91,95,100,72,100,78,97,79,76
83,80,87,91,81,92,81,82,94,99
82,88,95,88,92,83,73,82,77,83
98,92,90,92,88,81,87,75,87,74
88,91,74,93,78,96,72,97,79,83
88,72,98,98,91,100,84,70,76,87
81,86,99,90,100,95,98,93,89,100
74,73,97,81,99,89,97,93,87,71
86,88,78,73,95,90,71,73,71,4
84,71,73,75,76,79,88,88,95,49
91,98,81,72,82,87,77,90,84,77
70,72,95,77,73,85,99,92,79,86
81,83,83,71,92,74,74,75,82,39
78,99,91,97,98,84,83,93,76,82
94,89,71,76,75,86,96,94,94,84
97,71,72,74,74,100,70,77,81,50
93,73,82,92,84,100,80,79,72,81
91,83,85,79,98,79,81,99,78,82
70,74,89,77,80,81,70,94,91,83
89,97,94,80,74,84,74,81,74,78
86,86,93,81,93,97,84,84,75,71
81,96,98,89,87,83,71,78,100,79
74,89,95,98,70,92,72,75,74,98
90,96,74,70,86,88,83,81,79,72
89,90,87,93,96,80,99,71,94,84
87,98,94,76,100,93,84,80,87,83
92,81,75,89,92,99,82,89,85,86
87,79,97,92,77,87,90,70,92,72
77,98,75,74,84,91,84,71,70,67
92,92,95,80,79,99,87,87,86,82
95,77,84,77,86,81,96,77,94,86
83,73,70,70,88,100,85,83,90,80
85,74,78,95,99,97,71,87,75,73
100,78,70,78,94,85,82,78,90,74
82,100,78,80,73,71,98,75,83,5
73,75,88,75,71,87,82,78,92,93
88,82,80,70,93,99,91,76,94,75
90,84,70,81,95,76,84,90,88,88
97,98,94,70,86,86,72,81,75,73
95,80,72,77,83,83,79,71,83,9
78,72,90,95,77,85,71,75,97,81
90,98,95,94,81,74,71,85,74,89
84,81,73,84,80,85,92,75,83,84
87,81,96,80,82,90,92,80,92,91
85,84,90,97,84,94,73,80,88,98
84,73,90,82,91,88,71,83,98,81
73,85,90,89,83,96,98,84,97,98
72,77,85,79,73,99,87,71,86,91
82,73,95,94,99,80,76,100,81,74
79,76,82,100,76,100,93,86,79,94
98,79,93,73,89,73,91,76,91,92
70,81,93,82,79,84,96,82,92,76
91,91,90,91,97,78,95,78,84,87
79,93,95,94,98,79,77,93,85,92
86,95,96,74,73,87,93,88,73,89
97,76,79,94,87,88,73,79,70,83
92,87,74,84,86,72,81,71,70,60
92,90,86,91,85,74,84,72,97,81
76,80,79,78,83,82,98,94,99,99
94,71,72,76,90,87,72,79,91,37
98,76,78,86,80,76,93,97,83,72
88,73,95,75,79,76,82,83,73,71
77,74,70,73,72,78,77,70,96,42
75,78,76,73,82,86,97,71,97,86
74,81,96,90,77,75,77,87,72,73
91,81,98,95,72,91,75,71,92,75
81,71,75,86,72,71,92,99,89,85
77,91,81,95,73,74,82,98,100,85
84,94,92,85,79,99,99,94,92,74
85,81,86,85,81,77,89,72,85,93
99,82,92,97,88,77,91,74,89,74
77,93,81,70,94,99,90,89,75,78
91,87,77,76,70,90,85,81,75,14
89,71,98,83,73,70,92,87,82,75
71,78,90,71,96,94,78,70,80,83
72,89,99,92,95,73,87,92,75,74
72,91,80,84,91,97,74,89,79,92
81,84,86,79,75,87,82,72,99,87
93,79,99,83,75,72,85,76,89,92
83,78,84,90,72,71,96,71,72,87
87,83,89,87,79,94,71,94,98,84
91,70,73,100,83,70,83,85,91,84
83,98,89,72,72,78,75,94,82,16
90,71,77,90,71,73,94,84,73,78
82,97,81,97,82,100,83,89,87,72
98,97,100,75,98,80,99,71,97,96
92,88,100,88,74,88,71,79,94,83
71,99,80,87,98,100,93,84,78,100
92,88,78,72,90,78,97,99,83,92
88,76,85,85,97,70,73,73,76,86
77,86,74,76,97,89,98,89,73,100
97,75,76,87,100,74,89,100,99,86
98,72,76,96,97,91,83,76,74,76
98,91,74,99,92,71,99,96,90,92
91,75,84,90,79,92,95,93,76,94
74,70,82,90,95,87,82,90,90,74
87,74,82,73,86,72,86,97,80,73
100,90,89,92,90,95,99,73,71,76
89,85,97,87,77,72,78,98,89,74
98,75,79,90,79,82,86,78,86,88
93,78,78,70,71,97,85,98,70,76
79,87,95,97,77,90,97,80,92,96
71,77,96,91,77,86,84,86,97,75
92,93,82,88,74,81,70,92,74,97
77,82,77,94,92,80,70,82,88,79
93,72,93,86,74,89,90,77,95,81
100,83,73,80,89,84,88,76,88,76
97,88,80,95,74,74,99,91,77,100
79,75,84,85,97,86,100,77,77,86
94,78,71,84,87,72,86,73,99,42
73,83,78,78,94,95,92,99,100,91
87,79,90,73,81,96,77,71,91,85
82,90,100,85,97,71,80,79,84,96
86,77,87,92,78,94,77,96,83,94
97,95,94,87,91,89,99,89,90,79
81,88,83,86,93,90,72,95,99,94
92,76,86,81,78,84,87,90,82,89
99,90,99,77,83,77,83,76,92,95
81,80,91,91,80,94,91,97,98,89
82,87,71,98,90,84,89,96,87,94
100,84,88,92,93,81,82,91,80,96
74,98,70,93,72,100,91,88,92,79
98,99,76,81,84,94,74,84,77,93
79,95,85,77,70,81,74,72,70,3
73,77,72,79,71,80,94,79,90,9
83,76,96,96,71,78,85,82,78,79
89,73,91,79,95,95,91,81,86,89
83,83,94,71,90,94,89,80,85,85
88,100,92,75,93,88,74,95,73,89
84,98,73,89,79,93,91,72,95,72
74,75,90,91,77,76,90,79,75,80
83,73,97,94,82,89,86,92,76,89
73,98,83,72,93,74,85,95,92,87
89,73,93,99,93,71,99,87,88,90
100,97,97,88,86,100,83,88,91,94
93,82,81,99,95,75,90,100,73,91
88,85,82,73,99,92,86,92,70,72
87,100,89,86,96,97,96,84,80,89
94,97,91,82,70,86,75,73,89,16
85,84,96,84,75,84,83,97,80,88
76,78,95,85,74,94,89,98,79,87
87,72,82,80,86,99,99,91,82,72
75,86,96,82,88,90,88,79,72,89
83,95,88,74,98,74,89,86,90,71
79,74,73,75,95,73,99,76,76,81
87,72,70,93,94,73,75,78,91,95
83,97,81,97,94,100,89,93,94,80
73,90,99,93,81,79,99,91,97,75
76,72,92,97,83,93,79,85,85,86
91,100,79,94,82,75,81,78,82,94
73,93,80,89,87,95,80,94,90,75
73,87,70,96,76,75,100,84,87,94
93,80,89,93,84,85,76,90,79,93
95,81,93,83,94,74,95,90,87,82
74,72,92,95,74,93,86,88,88,74
94,90,81,94,98,78,70,87,90,93
73,100,79,94,76,91,92,70,86,76
93,98,98,71,97,95,80,78,76,89
91,86,86,71,75,83,75,71,70,14
79,90,74,71,91,85,94,71,79,86
71,85,85,88,98,76,91,81,93,83
84,77,75,97,96,79,72,88,100,95
86,76,90,89,95,100,73,83,89,100
91,84,93,77,90,84,91,89,97,91
83,96,98,78,77,95,97,95,86,94
100,71,94,93,99,72,77,81,70,77
79,89,72,75,76,89,92,94,96,95
87,80,88,74,88,80,93,81,79,93
77,93,97,97,78,73,74,90,77,90
92,78,84,84,85,83,77,87,79,74
97,89,75,81,71,76,85,72,82,42
72,96,87,80,77,75,70,97,70,78
92,77,74,97,85,80,74,73,99,76
75,83,91,88,78,81,80,83,92,95
85,70,100,82,92,90,90,99,82,100
71,73,97,75,95,100,96,92,96,80
74,94,72,70,73,94,89,71,95,6
99,99,74,72,98,97,98,78,89,74
75,87,75,88,97,81,94,80,71,73
84,81,81,78,90,93,71,91,72,94
81,97,99,95,85,90,97,93,95,77
99,70,90,72,89,71,78,88,84,74
87,95,80,94,92,85,91,86,74,83
81,80,99,84,96,72,70,89,98,90
85,71,71,72,77,93,97,84,76,87
75,78,89,97,70,77,92,92,100,97
72,73,95,94,84,75,84,100,90,77
72,94,90,90,83,89,83,73,81,87
86,76,78,72,97,82,84,87,88,96
70,75,96,96,92,96,96,71,93,96
83,75,83,73,90,77,99,72,88,74
99,100,83,96,89,86,94,77,93,81
83,95,75,92,91,85,94,88,83,100
88,72,79,88,78,97,89,82,76,73
83,100,78,96,97,92,94,97,88,81
84,89,83,93,75,90,98,73,77,73
86,99,78,70,93,89,94,83,80,82
90,72,78,96,83,99,78,73,96,71
73,97,77,71,78,98,83,91,78,74
93,100,100,92,85,98,99,86,85,84
99,81,72,80,83,87,90,100,90,71
74,85,89,74,72,81,70,90,98,44
78,98,78,73,72,86,71,93,70,44
77,82,92,84,77,81,91,81,83,94
84,84,78,88,95,89,98,91,77,85
90,88,75,89,94,98,88,73,92,87
76,97,97,73,91,81,82,72,91,82
81,71,93,71,96,92,78,70,77,100
92,75,75,91,94,87,86,98,81,92
75,95,96,77,88,97,79,70,94,93
98,82,86,72,77,83,72,85,82,11
89,93,86,82,98,75,86,83,86,88
99,77,80,89,97,70,95,76,90,74
90,86,99,79,80,91,99,78,78,97
93,74,86,78,86,93,90,88,96,84
76,92,78,76,82,80,83,88,80,89
82,100,83,82,70,77,81,88,81,99
77,77,98,90,82,81,98,85,70,83
82,95,76,97,95,74,77,94,96,95
83,92,99,82,84,92,86,84,89,100
87,87,71,73,99,70,100,73,87,93
74,88,84,97,77,89,86,70,81,88
95,88,84,78,76,71,100,98,78,81
79,71,88,80,82,79,83,87,88,98
91,78,94,76,97,72,89,75,96,76
90,71,98,75,72,85,99,77,71,79
86,78,99,81,72,80,70,92,82,82
84,95,74,90,99,86,100,100,94,89
92,93,94,75,97,90,91,80,87,84
73,72,82,92,78,90,75,95,99,85
97,81,71,72,72,97,81,84,78,2
100,92,77,80,85,95,96,94,91,89
73,97,70,93,76,71,93,97,74,90
76,73,74,93,70,70,84,89,88,24
98,79,97,87,97,72,80,84,100,81
96,99,80,86,86,75,74,77,71,55
85,89,93,81,75,70,100,73,86,87
82,87,74,99,93,93,96,72,80,99
82,73,95,96,83,91,80,96,79,98
88,87,75,96,98,84,90,99,79,97
74,95,98,74,79,97,74,72,92,87
75,73,87,97,78,86,98,82,96,93
84,99,89,86,82,85,91,73,74,73
74,78,86,82,71,82,91,90,96,84
92,88,72,79,71,82,88,95,86,97
90,83,100,81,90,81,80,76,73,77
88,70,97,100,93,98,72,82,84,95
71,80,73,88,98,86,72,97,87,89
77,91,94,93,95,88,74,76,90,73
77,97,74,86,74,73,91,88,100,72
96,90,71,80,91,82,84,81,91,96
90,91,80,76,97,74,86,93,89,87
78,83,95,81,75,86,88,88,95,79
85,81,81,89,75,100,92,95,73,92
75,80,70,99,93,92,84,96,80,76
94,88,87,86,88,90,83,96,87,94
97,88,84,100,84,73,76,82,72,97
85,100,78,77,89,82,86,86,86,91
70,77,88,100,75,72,96,74,82,79
84,83,98,100,92,85,87,91,98,97
91,80,72,91,79,79,99,90,85,75
81,71,78,93,72,93,99,94,99,72
84,72,88,87,77,95,86,77,76,92
99,76,72,70,73,94,74,70,84,8
74,82,77,77,74,97,78,100,70,89
73,72,71,100,77,92,78,71,83,80
83,73,99,100,75,80,72,77,72,74
83,97,82,82,71,82,98,88,96,80
75,85,71,77,86,92,71,79,97,58
85,75,97,71,71,95,82,93,84,78
100,97,71,76,72,77,92,83,93,53
99,92,96,91,98,76,90,76,70,83
86,78,99,90,82,90,88,90,88,77
94,94,91,100,86,92,92,99,79,77
79,73,77,91,89,89,87,83,87,74
97,83,89,90,93,84,91,99,100,85
73,82,96,92,77,87,81,92,100,82
83,71,87,93,71,100,80,78,81,86
86,84,94,100,86,95,98,95,87,76
91,75,86,92,93,87,77,78,75,98
74,81,94,98,97,80,94,70,80,79
88,78,96,71,81,73,73,87,84,73
88,82,88,86,75,85,93,81,88,78
74,86,95,92,95,98,70,97,96,77
94,93,92,79,84,92,90,90,80,74
82,74,70,93,81,80,86,73,84,96
94,99,78,90,89,88,88,81,74,83
79,86,74,91,85,76,97,78,72,89
84,85,87,83,72,81,78,97,76,100
78,82,87,74,82,73,100,71,85,77
78,78,75,80,91,93,91,70,73,80
82,92,82,82,71,78,93,77,76,95
73,87,72,97,75,81,81,90,97,82
77,91,91,70,73,90,97,80,72,96
82,94,86,91,91,79,90,81,84,73
90,79,83,82,74,75,93,71,91,57
86,73,83,79,72,94,72,84,75,95
86,81,91,89,93,98,80,94,73,99
95,97,95,75,70,89,92,97,85,94
84,86,77,97,95,81,96,91,90,82
79,96,84,99,78,71,74,75,76,89
90,94,70,92,95,76,89,94,99,85
81,85,85,80,90,73,82,76,73,78
84,88,78,80,77,70,92,94,93,82
77,82,91,96,73,77,72,98,78,90
98,71,71,97,82,84,97,92,81,76
95,73,95,77,78,92,74,93,89,98
87,80,84,97,91,78,86,96,95,80
81,76,79,94,95,94,79,96,82,72
88,80,82,90,77,77,73,84,100,94
97,80,80,70,86,84,89,75,93,83
91,97,94,84,100,78,83,87,95,95
86,87,74,89,89,78,80,93,91,77
70,87,75,96,71,84,98,95,90,78
83,74,75,75,99,91,99,87,83,93
79,83,82,100,99,72,99,75,98,86
77,81,82,80,81,70,86,85,80,81
82,87,80,100,97,81,75,78,85,96
73,72,97,85,93,96,95,99,94,74
81,80,74,94,87,88,92,92,75,87
91,87,95,75,73,81,88,98,96,86
98,71,86,80,80,90,85,71,71,89
92,77,82,79,77,99,73,84,99,93
70,80,76,86,96,89,93,87,91,97
98,91,81,78,74,79,73,74,97,6
97,79,100,80,90,93,79,97,77,97
71,92,77,85,96,91,74,96,94,83
98,72,81,82,82,79,73,78,91,50
93,92,96,71,88,70,94,98,76,87
86,72,89,89,90,99,72,72,86,96
76,96,95,83,86,87,82,89,98,95
89,90,96,87,73,70,87,70,95,98
95,82,89,89,92,79,96,80,78,92
78,74,95,70,86,91,71,93,82,83
78,98,73,74,80,93,88,90,72,99
81,95,88,88,82,97,76,84,92,82
76,95,77,74,90,83,73,92,79,77
89,84,87,89,82,98,77,78,85,71
88,85,76,83,97,83,94,96,73,71
95,84,72,74,70,72,84,93,96,13
77,100,98,73,71,98,93,93,79,97
73,72,71,94,86,92,90,93,89,85
92,82,74,100,99,90,99,78,94,81
98,94,97,91,75,74,94,79,77,94
76,76,75,90,98,89,72,88,91,96
84,73,97,81,75,88,100,73,84,79
78,74,82,92,95,87,99,99,74,87
94,85,96,88,83,94,99,85,96,74
84,91,73,76,85,93,91,90,91,90
90,77,86,85,96,92,100,79,79,89
96,71,100,99,78,86,80,79,91,77
94,86,73,85,89,84,94,96,90,71
74,75,86,70,100,94,88,73,86,79
78,100,93,71,77,84,76,96,75,83
70,84,92,95,76,98,99,94,86,94
71,96,78,98,78,82,75,75,89,72
89,90,72,86,100,86,81,85,84,72
82,92,70,86,72,95,84,73,73,12
87,86,88,80,89,72,77,83,95,77
70,83,71,98,92,73,93,96,98,79
88,75,94,70,86,77,88,90,70,82
74,96,85,75,77,82,85,99,72,73
88,81,85,96,80,79,94,89,100,93
73,81,92,71,93,91,88,94,74,92
77,76,83,93,92,72,87,85,92,85
88,88,87,89,85,77,97,70,86,77
81,99,90,80,74,96,81,86,75,93
70,74,94,97,83,74,91,93,96,96
70,99,87,85,78,88,91,74,96,71
71,99,84,76,73,70,82,89,91,13
76,84,92,83,92,88,91,98,93,89
89,98,93,87,100,79,78,94,77,86
95,99,98,79,86,71,75,95,74,80
97,99,78,74,87,95,89,78,86,71
96,86,81,76,96,72,79,71,94,68
72,85,71,97,93,79,75,91,95,73
80,92,76,96,98,84,75,89,96,87
78,91,89,81,88,89,72,84,71,88
99,90,71,91,72,75,84,96,79,96
78,70,85,75,78,96,73,96,97,91
71,98,73,70,88,95,94,79,90,97
84,96,91,88,85,90,96,93,91,89
73,71,99,94,82,97,70,86,82,92
73,76,86,78,73,88,70,79,73,56
78,82,83,79,75,85,75,86,79,92
87,96,91,87,72,89,96,90,100,88
94,97,84,84,73,98,96,78,96,86
95,88,93,97,86,80,94,78,79,72
87,89,82,77,76,86,90,92,84,85
89,84,100,70,94,83,74,80,85,83
71,77,80,98,87,72,99,95,70,83
80,85,87,99,85,92,79,87,75,86
100,88,73,96,100,82,93,83,72,78
79,75,70,92,93,96,83,77,88,81
83,79,86,78,98,75,80,94,76,78
86,97,97,70,91,74,78,87,93,92
96,90,71,98,95,80,96,97,75,80
95,77,73,87,97,80,74,84,97,93
87,71,100,91,80,95,94,82,73,71
91,76,98,80,91,93,73,97,84,82
70,92,72,83,75,87,94,70,75,79
75,90,85,98,74,86,79,97,90,75
87,76,72,82,84,89,88,72,73,79
74,70,73,81,97,96,93,79,92,86
94,90,98,100,95,89,93,94,82,88
92,83,92,74,73,83,79,86,79,100
95,76,85,70,86,90,98,78,75,78
88,82,72,76,91,78,91,74,79,93
92,86,81,92,85,72,99,94,100,81
91,78,98,84,74,92,82,83,89,100
84,85,92,82,86,92,77,90,71,90
74,75,81,87,99,91,91,70,99,89
